Ticker,Name der Anteilklasse,ISIN,Fondsvermögen,UCITS,Domizil,TER (%),Laufende Gebühren (%),Auflagedatum,Anlageklasse,Unteranlageklasse,Region,Währung der Anteilsklasse,Markt,Strategie,Standort,Anteils- klasse,Anteile im Umlauf,für ISA zugelassen,Produktmethodik,Emittent,Ertrags- verwendung,Referenzindex,NAV,Per,Benchmark-Wert,für SIPP verfügbar,UK-Distributor /Reporting-Status,Risk Indicator,Geldkurs,Per,Briefkurs,Per,AUM (Mio.),UCITS,Anlageansatz,Diskrete Rendite,,,,,,Annualisiert,,,,,,,Kumulativ,,,,,,,Merkmale,,,,,,Kalenderjahr,,,,,,Merkmale,,,,,,,Nachhaltigkeitsmerkmale (MSCI),,,
5UOA,iShares $ Corp Bond ESG UCITS ETF USD (Acc),IE00BKKKWJ26,"260.025.306,35",Ja,Irland,"0,15",-,03.Mar.2020,Anleihen,Unternehmensanleihen,Global,USD,Industrieländer,Nachhaltige Strategien,Weitere,- ,"49.615.245,00",Ja,Sampling,iShares II plc,thesaurierend,BBG Barclays US Corporate Sustainable SRI Index,"5,24",17.Nov.2020,"144,85",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"348,45",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares $ Corp Bond ESG UCITS ETF USD (Acc),"15,89","1,51","1,65","11,12","8,03","0,00",A,"7,10","87,61",ESG Broad
-,iShares ESG Screened Global Corporate Bond Index Fund D Dist GBP Hedged,IE00BJN4RF59,"297.504,23",Ja,Irland,-,"0,16",12.Feb.2020,Anleihen,Unternehmensanleihen,Global,GBP,Industrieländer,Nachhaltige Strategien,Weitere,Class D Dist Hedged,"29.285,13",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,BBG Barc Global Aggregate Corporate Index,"10,16",17.Nov.2020,-,-,-,4.00,"10,15",17.Nov.2020,"10,21",17.Nov.2020,"370,37",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares ESG Screened Global Corporate Bond Index Fund D Dist GBP Hedged,"11,16","0,99","1,60","9,68","7,26","2.801.806.466,33",-,-,-,ESG Screened
-,iShares ESG Screened Global Corporate Bond Index Fund Inst Acc USD,IE00BJN4RH73,"5.070,28",Ja,Irland,-,"0,16",12.Feb.2020,Anleihen,Unternehmensanleihen,Global,USD,Industrieländer,Nachhaltige Strategien,Weitere,Class Inst Acc,"476,38",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,BBG Barc Global Aggregate Corporate Index,"10,64",17.Nov.2020,-,-,-,4.00,"10,64",17.Nov.2020,"10,70",17.Nov.2020,"370,37",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares ESG Screened Global Corporate Bond Index Fund Inst Acc USD,"11,16","0,99","1,60","9,68","7,26","2.801.806.466,33",-,-,-,ESG Screened
-,iShares ESG Screened Global Corporate Bond Index Fund Q Acc EUR Hedged,IE00BJN4RJ97,"238.538.248,00",Ja,Irland,-,"0,12",27.Apr.2020,Anleihen,Unternehmensanleihen,Global,EUR,Industrieländer,-,Weitere,Class Q Acc Hedged,"22.368.970,36",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,BBG Barc Global Aggregate Corporate Index,"10,66",17.Nov.2020,-,-,-,4.00,"10,66",17.Nov.2020,"10,72",17.Nov.2020,"370,37",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares ESG Screened Global Corporate Bond Index Fund Q Acc EUR Hedged,"11,16","0,99","1,60","9,68","7,26","2.801.806.466,33",-,-,-,ESG Screened
-,iShares ESG Screened Global Corporate Bond Index Fund D Acc EUR Hedged,IE00BJN4RG66,"67.477.907,50",Ja,Irland,-,"0,16",12.Feb.2020,Anleihen,Unternehmensanleihen,Global,EUR,Industrieländer,Nachhaltige Strategien,Weitere,Class D Acc Hedged,"6.540.945,16",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,BBG Barc Global Aggregate Corporate Index,"10,32",17.Nov.2020,-,-,-,4.00,"10,31",17.Nov.2020,"10,37",17.Nov.2020,"370,37",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares ESG Screened Global Corporate Bond Index Fund D Acc EUR Hedged,"11,16","0,99","1,60","9,68","7,26","2.801.806.466,33",-,-,-,ESG Screened
-,iShares Japan Index Fund (IE) Inst Dist JPY,IE00BL1GW748,"8.829.940.384,88",Ja,Irland,-,"0,17",25.Feb.2020,Aktien,Large/Mid Caps,Asien-Pazifik,JPY,Industrieländer,-,Japan,Institutional Dist,"4.081.651,41",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI Developed - Japan Index - Net Returns in JPY,"2.163,33",17.Nov.2020,-,-,-,6.00,"2.162,68",17.Nov.2020,"2.163,97",17.Nov.2020,"1.901,44",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Japan Index Fund (IE) Inst Dist JPY,"16,38","1,30","0,00","0,00","0,00","43.174,48",A,"6,62","84,42",-
-,iShares UK Index Fund (IE) Inst Dist GBP,IE00BL1GW631,"52.401.667,56",Ja,Irland,-,"0,17",25.Feb.2020,Aktien,Large/Mid Caps,Europa,GBP,Industrieländer,-,Grossbritannien,Institutional Dist,"5.834.517,69",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI Japan in Net GBP,"8,98",17.Nov.2020,-,-,-,6.00,"8,98",17.Nov.2020,"9,03",17.Nov.2020,"560,13",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares UK Index Fund (IE) Inst Dist GBP,"14,38","1,29","0,01","0,00","0,00","43.403,06",AA,"7,74","102,68",-
-,iShares UK Index Fund (IE) D Acc EUR,IE00BL1GW524,"11.908.791,09",Ja,Irland,-,"0,07",18.May.2020,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Grossbritannien,Class D Acc,"1.129.993,75",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Developed - United Kingdom Net in EUR,"10,54",17.Nov.2020,-,-,-,6.00,"10,54",17.Nov.2020,"10,59",17.Nov.2020,"560,13",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares UK Index Fund (IE) D Acc EUR,"14,38","1,29","0,01","0,00","0,00","43.403,06",AA,"7,74","102,68",-
SNAZ,iShares J.P. Morgan $ EM Corp Bond UCITS ETF EUR Hedged (Acc),IE00BKT1CS59,"136.666.388,11",Ja,Irland,"0,53",-,09.Mar.2020,Anleihen,Unternehmensanleihen,Global,EUR,Schwellenländer,Währungsgesichert,Weitere,Hedged,"27.124.364,00",Ja,Sampling,iShares V plc,thesaurierend,JP Morgan CEMBI Broad Diversified Core Index,"5,04",17.Nov.2020,"385,28",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"1.327,76",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares J.P. Morgan $ EM Corp Bond UCITS ETF EUR Hedged (Acc),"10,08","0,93","3,68","7,24","3,27","0,00",BB,"3,56","746,77",-
MAGR,BlackRock ESG Multi-Asset Growth Portfolio UCITS ETF EUR (Acc),IE00BLLZQ805,"3.504.035,68",Ja,Irland,"0,25",-,08.Sep.2020,Multi-Asset,Risk Rated,Global,EUR,Industrieländer,"Nachhaltige Strategien, Multi-Asset Solutions",Weitere,- ,"660.000,00",Ja,Physical Replication,iShares III plc,thesaurierend,Placeholder for prolonged perf holidays (No Benchmark applicable),"5,31",17.Nov.2020,-,Ja,Nein/Suche,5.00,-,17.Nov.2020,-,17.Nov.2020,"3,87",Y,Aktive Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BlackRock ESG Multi-Asset Growth Portfolio UCITS ETF EUR (Acc),"20,61","2,06","0,18","4,52","3,52","207.345,21",-,-,-,ESG Broad
MODR,BlackRock ESG Multi-Asset Moderate Portfolio UCITS ETF EUR (Acc),IE00BLLZQS08,"3.230.878,46",Ja,Irland,"0,25",-,08.Sep.2020,Multi-Asset,Risk Rated,Global,EUR,Industrieländer,"Nachhaltige Strategien, Multi-Asset Solutions",Weitere,- ,"620.000,00",Ja,Physical Replication,iShares III plc,thesaurierend,Placeholder for prolonged perf holidays (No Benchmark applicable),"5,21",17.Nov.2020,-,Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"3,47",Y,Aktive Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BlackRock ESG Multi-Asset Moderate Portfolio UCITS ETF EUR (Acc),"20,01","1,96","0,30","4,73","3,84","180.633,96",-,-,-,ESG Broad
MACV,BlackRock ESG Multi-Asset Conservative Portfolio UCITS ETF EUR (Acc),IE00BLP53M98,"2.234.902,59",Ja,Irland,"0,25",-,08.Sep.2020,Multi-Asset,Risk Rated,Global,EUR,Industrieländer,"Nachhaltige Strategien, Multi-Asset Solutions",Weitere,- ,"440.000,00",Ja,Physical Replication,iShares III plc,thesaurierend,Placeholder for prolonged perf holidays (No Benchmark applicable),"5,08",17.Nov.2020,-,Ja,Nein/Suche,3.00,-,17.Nov.2020,-,17.Nov.2020,"2,36",Y,Aktive Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BlackRock ESG Multi-Asset Conservative Portfolio UCITS ETF EUR (Acc),"15,43","1,44","0,37","4,57","3,93","126.511,77",-,-,-,ESG Broad
MVEA,iShares Edge MSCI USA Minimum Volatility ESG UCITS ETF USD (Acc),IE00BKVL7331,"281.665.480,26",Ja,Irland,"0,20",-,20.Apr.2020,Aktien,Large/Mid Caps,Nordamerika,USD,Industrieländer,"Faktor ETFs, Nachhaltige Strategien",Vereinigte Staaten von Amerika,- ,"48.500.000,00",Ja,Optimierung,iShares VI plc,thesaurierend,MSCI USA Minimum Volatility ESG Reduced Carbon Target Index,"5,81",17.Nov.2020,"3.863,76",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"281,67",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Edge MSCI USA Minimum Volatility ESG UCITS ETF USD (Acc),"26,82","4,37","0,02","0,00","0,00","156.456,65",AA,"7,65","125,77",ESG Broad
MVEE,iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF EUR (Acc),IE00BKVL7D31,"11.405.954,15",Ja,Irland,"0,25",-,17.Apr.2020,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,"Faktor ETFs, Nachhaltige Strategien",Weitere,- ,"2.000.000,00",Ja,Optimierung,iShares VI plc,thesaurierend,MSCI Europe Minimum Volatility ESG Reduced Carbon Target Index,"5,70",17.Nov.2020,"2.547,05",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"11,41",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF EUR (Acc),"20,60","2,50","-0,01","0,00","0,00","42.667,97",AAA,"9,21","99,67",ESG Broad
MVEW,iShares Edge MSCI World Minimum Volatility ESG UCITS ETF USD (Acc),IE00BKVL7778,"56.933.035,31",Ja,Irland,"0,30",-,20.Apr.2020,Aktien,Large/Mid Caps,Global,USD,Industrieländer,"Faktor ETFs, Nachhaltige Strategien",Weitere,- ,"10.000.000,00",Ja,Optimierung,iShares VI plc,thesaurierend,MSCI World Minimum Volatility ESG Reduced Carbon Target Index,"5,69",17.Nov.2020,"3.038,94",Ja,Nein/Suche,5.00,-,17.Nov.2020,-,17.Nov.2020,"56,93",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Edge MSCI World Minimum Volatility ESG UCITS ETF USD (Acc),"22,35","2,83","0,01","0,00","0,00","104.225,46",AA,"8,03","121,88",ESG Broad
IFFI,iShares MSCI AC Far East ex-Japan UCITS ETF USD (Acc),IE00BKPX3K41,"6.516.406,93",Ja,Irland,"0,74",-,01.Apr.2020,Aktien,Large/Mid Caps,Asien-Pazifik,USD,Schwellenländer,-,Weitere,- ,"919.000,00",Ja,Replikation,iShares plc,thesaurierend,MSCI All Country World Far East Ex Japan USD Index,"7,09",17.Nov.2020,"595,60",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"2.368,09",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares MSCI AC Far East ex-Japan UCITS ETF USD (Acc),"17,32","1,74","-0,01","0,00","0,00","204.511,56",BBB,"4,99","212,41",-
IS3V,iShares Global Inflation Linked Govt Bond UCITS ETF EUR Hedged (Acc),IE00BKPT2S34,"178.215.699,66",Ja,Irland,"0,25",-,27.Apr.2020,Anleihen,Inflationsgeschützte Anleihen,Global,EUR,Industrieländer,Währungsgesichert,Weitere,Hedged,"34.592.298,00",Ja,Sampling,iShares III plc,thesaurierend,BBG Barc World Government Inflation-Linked Bond Index,"5,15",17.Nov.2020,"371,14",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"1.207,06",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Global Inflation Linked Govt Bond UCITS ETF EUR Hedged (Acc),"0,00","0,00","-1,28","12,90","12,18","0,00",A,"6,26",-,-
ICHD,iShares MSCI China UCITS ETF USD (Dist),IE00BL977C92,"666.768,71",Ja,Irland,"0,40",-,27.Apr.2020,Aktien,Large/Mid Caps,Asien-Pazifik,USD,Schwellenländer,-,China,- ,"98.250,00",Ja,Replikation,iShares IV plc,ausschüttend,MSCI Emerging - China NET Index in USD,"6,79",17.Nov.2020,"763,52",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"205,99",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares MSCI China UCITS ETF USD (Dist),"16,16","1,94","-0,03","0,01","0,01","277.192,47",BB,"4,04","161,64",-
-,iShares Developed Real Estate Index Fund (IE) D Dist GBP Hedged,IE00BKPWSS48,"11.507.507,20",Ja,Irland,-,"0,24",09.Jul.2020,Immobilien,Immobilien-Aktien,Global,GBP,Industrieländer,-,Weitere,KLASSE D,"1.025.568,85",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,FTSE EPRA Nareit Developed Index (Net) in USD,"11,22",17.Nov.2020,-,-,-,5.00,"11,22",17.Nov.2020,"11,23",17.Nov.2020,"2.405,07",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Developed Real Estate Index Fund (IE) D Dist GBP Hedged,"15,46","1,15","0,01","0,00","0,00","15.072,66",BBB,"4,48","96,64",-
WQDA,iShares MSCI World Quality Dividend UCITS ETF USD (Acc),IE00BKPSFC54,"8.393.307,45",Ja,Irland,"0,38",-,14.May.2020,Aktien,Large/Mid Caps,Europa,USD,Industrieländer,Faktor ETFs,Weitere,- ,"1.406.376,00",Ja,Replikation,iShares II plc,thesaurierend,MSCI World High Yield Dividend Index (Net),"5,97",17.Nov.2020,"2.019,48",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"147,39",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares MSCI World Quality Dividend UCITS ETF USD (Acc),"15,77","2,09","0,01","0,00","0,00","112.425,15",AA,"7,15","249,71",-
CYBA,iShares China CNY Bond UCITS ETF USD (Acc),IE00BKPSFD61,"1.162.960.049,83",Ja,Irland,"0,35",-,14.May.2020,Anleihen,Flexible,Asien-Pazifik,USD,Schwellenländer,-,China,- ,"220.183.135,00",Ja,Sampling,iShares IV plc,thesaurierend,BBG Barc China Treasury + Policy Bank Total Return Index in USD,"5,28",17.Nov.2020,"238,77",Ja,Nein/Suche,3.00,-,17.Nov.2020,-,17.Nov.2020,"4.617,24",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares China CNY Bond UCITS ETF USD (Acc),"0,00","0,00","3,32","7,49","5,57","0,00",BB,"3,49","6,30",-
SECA,iShares € Govt Bond Climate UCITS ETF EUR (Acc),IE00BLDGH553,"262.660,98",Ja,Irland,"0,09",-,01.Oct.2020,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,Nachhaltige Strategien,Weitere,- ,"52.000,00",Ja,Optimierung,iShares III plc,thesaurierend,FTSE Advanced Climate Risk-Adjusted EMU Government Bond Index (EGBI),"5,05",17.Nov.2020,"247,38",Ja,Nein/Suche,3.00,-,17.Nov.2020,-,17.Nov.2020,"5,52",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares € Govt Bond Climate UCITS ETF EUR (Acc),"0,00","0,00","-0,14","10,37","8,75","0,00",-,-,-,Thematisch
SECD,iShares € Govt Bond Climate UCITS ETF EUR (Dist),IE00BLDGH447,"5.253.154,06",Ja,Irland,"0,09",-,01.Oct.2020,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,Nachhaltige Strategien,Weitere,- ,"1.040.095,00",Ja,Optimierung,iShares III plc,ausschüttend,FTSE Advanced Climate Risk-Adjusted EMU Government Bond Index (EGBI),"5,05",17.Nov.2020,"247,38",Ja,Nein/Suche,3.00,-,17.Nov.2020,-,17.Nov.2020,"5,52",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares € Govt Bond Climate UCITS ETF EUR (Dist),"0,00","0,00","-0,14","10,37","8,75","0,00",-,-,-,Thematisch
IUHE,iShares S&P 500 Health Care Sector UCITS ETF EUR Hedged (Dist),IE00BMBKBZ46,"84.871.781,23",Ja,Irland,"0,18",-,15.Jun.2020,Aktien,Large Caps,Nordamerika,EUR,Industrieländer,"Währungsgesichert, Sektoren",Vereinigte Staaten von Amerika,Hedged,"14.960.638,00",Ja,Replikation,iShares V plc,ausschüttend,S&P 500 Capped 35/20 Health Care Index NTR,"5,67",17.Nov.2020,"518,97",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"1.594,34",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares S&P 500 Health Care Sector UCITS ETF EUR Hedged (Dist),"25,85","4,79","0,01","0,00","0,00","155.622,70",A,"6,67","18,20",-
-,iShares Emerging Markets Government Bond Index Fund (IE) Institutional Acc GBP,IE00BLF0J488,"811.076.167,15",Ja,Irland,-,"0,23",18.Jun.2020,Anleihen,Staatsanleihen,Global,GBP,Schwellenländer,-,Weitere,Inst Acc,"81.521.412,16",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,JP Morgan EMBI Global Diversified Index IN GBP,"9,95",17.Nov.2020,-,-,-,5.00,"9,94",17.Nov.2020,"10,01",17.Nov.2020,"1.749,19",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Emerging Markets Government Bond Index Fund (IE) Institutional Acc GBP,"7,21","0,48","4,54","12,45","7,93","0,00",BB,"3,17","1,00",-
-,iShares Emerging Markets Local Government Bond Index Fund (IE) Institutional Acc GBP,IE00BM9G6X72,"511.125.155,95",Ja,Irland,-,"0,30",18.Jun.2020,Anleihen,Staatsanleihen,Global,GBP,Schwellenländer,-,Weitere,Inst Acc,"51.591.792,51",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,JP Morgan GBI-EM Global Diversified Index in GBP,"9,91",17.Nov.2020,-,-,-,5.00,"9,89",17.Nov.2020,"9,93",17.Nov.2020,"948,14",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Emerging Markets Local Government Bond Index Fund (IE) Institutional Acc GBP,"0,00","0,00","4,14","7,28","5,24","0,00",BBB,"4,65",-,-
AGUG,iShares Core Global Aggregate Bond UCITS ETF USD Hedged (Dist),IE00BMGNVD65,"20.570.124,46",Ja,Irland,"0,10",-,13.Jul.2020,Anleihen,Unternehmensanleihen,Global,USD,Industrieländer,"Core Series, Währungsgesichert",Weitere,Hedged,"4.086.781,00",Ja,Sampling,iShares III plc,ausschüttend,BBG Barc Global Aggregate Index,"5,03",17.Nov.2020,"548,44",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"4.108,64",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Core Global Aggregate Bond UCITS ETF USD Hedged (Dist),"13,00","1,11","0,84","8,87","7,20","0,00",A,"5,96","206,39",-
UMDV,iShares US Medical Devices UCITS ETF USD (Acc),IE00BMX0DF60,"3.262.235,50",Ja,Irland,"0,25",-,03.Aug.2020,Aktien,Large/Mid Caps,Nordamerika,USD,Industrieländer,Sektoren,Vereinigte Staaten von Amerika,- ,"600.000,00",Ja,Replikation,iShares V plc,thesaurierend,Dow Jones U.S. Select Medical Equipment Capped 35/20 NET Index,"5,44",17.Nov.2020,"3.975,99",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"3,26",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares US Medical Devices UCITS ETF USD (Acc),"48,68","5,50",-,"0,00","0,00","109.371,96",-,-,-,-
IAEA,iShares AEX UCITS ETF EUR (Acc),IE00BMTX2B82,"1.231.418,61",Ja,Irland,"0,30",-,29.Jul.2020,Aktien,Large Caps,Europa,EUR,Industrieländer,-,Niederlande,- ,"230.431,00",Ja,Replikation,iShares plc,thesaurierend,AEX (Euronext) Open Net Return Index,"5,34",17.Nov.2020,"1.849,28",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"325,31",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares AEX UCITS ETF EUR (Acc),"17,76","1,78","-0,01","0,00","0,00","75.349,44",AA,"7,69","71,56",-
I500,iShares S&P 500 Swap UCITS ETF,IE00BMTX1Y45,"111.772.343,49",Ja,Irland,"0,07",-,24.Sep.2020,Aktien,Large/Mid Caps,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,- ,"20.000.000,00",Ja,Swap,iShares VI plc,thesaurierend,S&P 500 Net Dividends Reinvested Index (Net USD),"5,59",17.Nov.2020,"6.560,04",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"111,77",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares S&P 500 Swap UCITS ETF,"21,21","3,53",-,"0,00","0,00","459.518,60",-,-,-,-
UEEF,iShares $ High Yield Corp Bond ESG UCITS ETF EUR Hedged (Acc),IE00BMDFDY08,"4.473.997,19",Ja,Irland,"0,55",-,19.Aug.2020,Anleihen,Hochzinsanleihen,Nordamerika,EUR,Industrieländer,"Währungsgesichert, Nachhaltige Strategien",Vereinigte Staaten von Amerika,Hedged,"872.000,00",Ja,Sampling,iShares II plc,thesaurierend,BBG Barc MSCI US Corporate High Yield Sustainable BB+ SRI Bond Index,"5,13",17.Nov.2020,"111,07",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"517,78",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares $ High Yield Corp Bond ESG UCITS ETF EUR Hedged (Acc),"13,68","1,10","4,12","4,66","1,69","748,85",BBB,"5,27","187,76",ESG Broad
UEEG,iShares $ Development Bank Bonds UCITS ETF EUR Hedged (Acc),IE00BMCZLH06,"20.966.276,95",Ja,Irland,"0,18",-,19.Aug.2020,Anleihen,Unternehmensanleihen,Global,EUR,Industrieländer,"Währungsgesichert, Nachhaltige Strategien",Weitere,Hedged,"4.212.000,00",Ja,Sampling,iShares III plc,thesaurierend,FTSE World Broad Investment-Grade USD Multi Dev Bank Bond Capped Index,"4,98",17.Nov.2020,"135,52",Ja,Nein/Suche,3.00,-,17.Nov.2020,-,17.Nov.2020,"265,82",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares $ Development Bank Bonds UCITS ETF EUR Hedged (Acc),"18,47","0,92","0,43","3,70","3,55","0,00",AAA,"8,58","5,40",Impact
UEEH,iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Dist),IE00BMCZLJ20,"419.898,21",Ja,Irland,"0,30",-,19.Aug.2020,Aktien,Large/Mid Caps,Global,USD,Industrieländer,Faktor ETFs,Weitere,- ,"81.423,00",Ja,Optimierung,iShares VI plc,ausschüttend,MSCI WORLD MINIMUM VOLATILITY (USD),"5,16",17.Nov.2020,"4.097,23",Ja,Nein/Suche,5.00,-,17.Nov.2020,-,17.Nov.2020,"4.054,92",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Dist),"21,39","2,69","-0,01","0,00","0,00","90.253,75",A,"6,86","315,64",-
SGWS,iShares MSCI World SRI UCITS ETF GBP Hedged (Dist),IE00BMZ17T93,"5.294.451,44",Ja,Irland,"0,23",-,12.Oct.2020,Aktien,Alle Kapitalisierungen,Global,GBP,Industrieländer,"Währungsgesichert, Nachhaltige Strategien",Weitere,Hedged,"1.025.942,00",Ja,Optimierung,iShares IV plc,ausschüttend,MSCI WORLD SRI SELECT REDUCED FOSSIL FUEL NET Index,"5,16",17.Nov.2020,"2.909,21",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"2.607,94",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares MSCI World SRI UCITS ETF GBP Hedged (Dist),"23,05","3,28","0,01","0,00","0,00","177.449,37",AAA,"8,63","55,92",ESG Broad
